Balancing Authority,MDV Registration,MDV Penetration,LDV Registration,LDV Penetration
AVA,461.7495414,0.006114816415559698,893023,0.013048001587110438
AZPS,7759.663229,0.10275898910054482,4662216,0.06811986003434589
BANC,1728.547264,0.022890654429089604,1554668,0.02271532819583573
BPAT,2145.234145,0.02840871898928793,4766477,0.06964322247123018
CHPD,103.3505420638078,0.001368641513433163,86140,0.001258595642792731
CISO,25570.69696,0.3386253878113986,21312115,0.31139232734731376
DOPD,109.76945779180491,0.0014536453688666641,91490,0.001336764747609786
EPE,216.825737,0.0028713608938376518,1003197,0.014657759148627112
GCPD,128.36871603767622,0.0016999499981994006,106992,0.0015632652079600638
IID,2693.5306133825256,0.03566965147509738,2244988,0.032801626595332804
IPCO,706.9682723,0.009362177564124633,1071000,0.015648432011040343
LDWP,14801.21839,0.19600827952539918,8261131,0.12070377851334986
NEVP,3278.375398,0.04341458280451572,2435246,0.03558149529519883
NWMT,230.7799729,0.0030561528277705014,937543,0.01369848542756937
PACE,1200.224388,0.015894226484439108,3367091,0.049196726973376126
PACW,623.1795334609941,0.008252587386431394,519404,0.007589036582878055
PGE,1836.258628,0.024317045053609942,2108247,0.030803697331447027
PNM,1180.165174,0.015628588080817674,1635027,0.02388945737228315
PSCO,461.5557326,0.006112249861344773,3841943,0.05613481216227111
PSEI,446.5645669518186,0.0059137261648924905,372200,0.005438231927646326
SCL,1569.335415,0.020782257689019094,1930073,0.02820038853113414
SRP,484.9784781412175,0.006422430546091446,404217,0.005906033839595419
TEPC,1150.160618,0.01523124637255284,1095691,0.016009193388056772
TIDC,292.076262845582,0.003867881971746976,243438,0.003556884212795181
TPWR,455.6171772,0.006033607279622805,823601,0.012033673438585281
WACM,5223.386061,0.06917179978948759,2128570,0.031100637652418432
WALC,447.2388530525914,0.005922655541855786,372762,0.005446443336414024
WAUW,199.85024150358515,0.0026465592877353153,166570,0.002433762203621839
WWA,7.561122644773294,0.00010012977322757748,6302,9.207882216020189e-05
