Balancing Authority LDV,LDV Registration,Balancing Authority MDV,MDV Registration
AVA,893023,AVA,461.7495414
AZPS,4662216,AZPS,7759.663229
BANC,1554668,BANC,1728.547264
BPAT,4766477,BPAT,2145.234145
CHPD,86140,CISO,25570.69696
CISO,21312115,EPE,216.825737
DOPD,91490,IPCO,706.9682723
EPE,1003197,LDWP,14801.21839
GCPD,106992,NEVP,3278.375398
IID,2244988,NWMT,230.7799729
IPCO,1071000,PACE,1200.224388
LDWP,8261131,PGE,1836.258628
NEVP,2435246,PNM,1180.165174
NWMT,937543,PSCO,461.5557326
PACE,3367091,SCL,1569.335415
PACW,519404,TEPC,1150.160618
PGE,2108247,TPWR,455.6171772
PNM,1635027,WACM,5223.386061
PSCO,3841943,,
PSEI,372200,,
SCL,1930073,,
SRP,404217,,
TEPC,1095691,,
TIDC,243438,,
TPWR,823601,,
WACM,2128570,,
WALC,372762,,
WAUW,166570,,
WWA,6302,,
